epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.869,0,65.9155,0,0,0,0,0,0,122.923,0,0.00045728,0.00045728,0.00045728
2,314.712,0,57.1889,0,0,0,0,0,0,118.95,0,0.000910459,0.000910459,0.000910459
3,464.938,0,50.6007,0,0,0,0,0,0,123.268,0,0.00134496,0.00134496,0.00134496
4,599.452,0,45.5586,0,0,0,0,0,0,501.113,0,0.00134412,0.00134412,0.00134412
5,731.962,0,41.689,0,0,0,0,0,0,78.2989,0,0.00131582,0.00131582,0.00131582
6,858.059,0,38.079,0,0,0,0,0,0,69.7495,0,0.00128753,0.00128753,0.00128753
7,993.735,0,34.8789,0,0,0,0,0,0,64.3845,0,0.00125923,0.00125923,0.00125923
8,1118.83,0,31.9694,0,0,0,0,0,0,58.3723,0,0.00123094,0.00123094,0.00123094
9,1252.03,0,29.3655,0,0,0,0,0,0,56.1675,0,0.00120265,0.00120265,0.00120265
10,1384.35,0,26.9334,0,0,0,0,0,0,50.6733,0,0.00117435,0.00117435,0.00117435
11,1507.89,0,24.756,0,0,0,0,0,0,45.1106,0,0.00114606,0.00114606,0.00114606
12,1632.31,0,22.6895,0,0,0,0,0,0,41.9003,0,0.00111776,0.00111776,0.00111776
13,1758.96,0,20.8783,0,0,0,0,0,0,39.7519,0,0.00108947,0.00108947,0.00108947
14,1888.07,0,19.1512,0,0,0,0,0,0,36.8796,0,0.00106118,0.00106118,0.00106118
15,2015.39,0,17.4933,0,0,0,0,0,0,33.937,0,0.00103288,0.00103288,0.00103288
16,2146.26,0,15.9617,0,0,0,0,0,0,30.4366,0,0.00100459,0.00100459,0.00100459
17,2278.24,0,14.5787,0,0,0,0,0,0,27.0612,0,0.000976293,0.000976293,0.000976293
18,2401.62,0,13.286,0,0,0,0,0,0,25.8312,0,0.000947999,0.000947999,0.000947999
19,2527.51,0,12.1486,0,0,0,0,0,0,23.488,0,0.000919704,0.000919704,0.000919704
20,2650.78,0,11.0711,0,0,0,0,0,0,21.0288,0,0.00089141,0.00089141,0.00089141
21,2779.14,0,10.0983,0,0,0,0,0,0,19.3493,0,0.000863116,0.000863116,0.000863116
22,2903.25,0,9.22074,0,0,0,0,0,0,17.6466,0,0.000834822,0.000834822,0.000834822
23,3026.86,0,8.42258,0,0,0,0,0,0,16.2649,0,0.000806528,0.000806528,0.000806528
24,3151.95,0,7.70726,0,0,0,0,0,0,14.8069,0,0.000778233,0.000778233,0.000778233
25,3275.61,0,7.06748,0,0,0,0,0,0,13.4149,0,0.000749939,0.000749939,0.000749939
26,3399.47,0,6.52396,0,0,0,0,0,0,12.6934,0,0.000721645,0.000721645,0.000721645
27,3529.54,0,6.02349,0,0,0,0,0,0,11.734,0,0.000693351,0.000693351,0.000693351
28,3655.46,0,5.56035,0,0,0,0,0,0,10.7959,0,0.000665057,0.000665057,0.000665057
29,3778.78,0,5.1474,0,0,0,0,0,0,10.0035,0,0.000636762,0.000636762,0.000636762
30,3903.56,0,4.77521,0,0,0,0,0,0,9.26573,0,0.000608468,0.000608468,0.000608468
31,4029.23,0,4.44807,0,0,0,0,0,0,8.64385,0,0.000580174,0.000580174,0.000580174
32,4158.66,0,4.16098,0,0,0,0,0,0,8.13851,0,0.00055188,0.00055188,0.00055188
33,4287.54,0,3.90331,0,0,0,0,0,0,7.73927,0,0.000523586,0.000523586,0.000523586
34,4413.96,0,3.66607,0,0,0,0,0,0,7.49602,0,0.000495291,0.000495291,0.000495291
35,4543.23,0,3.45579,0,0,0,0,0,0,6.86962,0,0.000466997,0.000466997,0.000466997
36,4672.31,0,3.26475,0,0,0,0,0,0,6.54627,0,0.000438703,0.000438703,0.000438703
37,4801.63,0,3.08834,0,0,0,0,0,0,6.24308,0,0.000410409,0.000410409,0.000410409
38,4927.22,0,2.93346,0,0,0,0,0,0,6.02524,0,0.000382115,0.000382115,0.000382115
39,5050.85,0,2.79407,0,0,0,0,0,0,5.59335,0,0.00035382,0.00035382,0.00035382
40,5175.04,0,2.67378,0,0,0,0,0,0,5.38975,0,0.000325526,0.000325526,0.000325526
41,5299.8,0,2.56946,0,0,0,0,0,0,4.87233,0,0.000297232,0.000297232,0.000297232
42,5424.62,0,2.47537,0,0,0,0,0,0,4.98132,0,0.000268938,0.000268938,0.000268938
43,5553.35,0,2.39403,0,0,0,0,0,0,4.84358,0,0.000240644,0.000240644,0.000240644
44,5676.96,0,2.32297,0,0,0,0,0,0,4.69908,0,0.000212349,0.000212349,0.000212349
45,5802.88,0,2.25876,0,0,0,0,0,0,4.57394,0,0.000184055,0.000184055,0.000184055
46,5929.37,0,2.20713,0,0,0,0,0,0,4.49704,0,0.000155761,0.000155761,0.000155761
47,6062.26,0,2.16747,0,0,0,0,0,0,4.41892,0,0.000127467,0.000127467,0.000127467
48,6185.97,0,2.13656,0,0,0,0,0,0,4.3566,0,9.91726e-05,9.91726e-05,9.91726e-05
49,6310.89,0,2.11133,0,0,0,0,0,0,4.31344,0,7.08784e-05,7.08784e-05,7.08784e-05
50,6437.02,0,2.0942,0,0,0,0,0,0,4.28741,0,4.25842e-05,4.25842e-05,4.25842e-05
